pH,Temperature (°C),Turbidity (NTU),Dissolved Oxygen (mg/L),Conductivity (µS/cm),Hardness,Safe
7.25,23.1,4.5,7.8,342,204.89,0
7.11,22.3,5.1,6.2,335,129.42,0
7.03,21.5,3.9,8.3,356,224.24,0
7.38,22.9,3.2,9.5,327,214.37,0
7.45,20.7,3.8,8.1,352,181.10,0
6.89,23.6,4.6,7.2,320,188.31,0
7.19,21.2,4.2,8.8,350,248.07,0
6.98,22.1,3.7,6.9,325,203.36,1
7.31,20.4,4.1,8.4,360,118.99,0
7.02,22.7,4.8,7.5,330,227.23,1
7.24,22.4,4.3,8.6,347,165.52,0
7.17,21.6,3.6,7.1,328,218.69,1
6.95,22.3,4.1,6.4,341,156.70,1
7.06,23.5,3.7,9.2,355,150.17,0
7.48,20.8,3.4,7.9,329,205.34,1
6.92,21.4,4.9,6.8,362,186.73,1
7.11,22,4.4,8.1,336,211.05,0
7.3,23.2,3.5,9.6,351,273.81,0
7.13,21.1,4,7.5,319,279.36,1
7.01,23,4.7,8.9,330,214.50,0
6.83,22.5,3.3,6.1,348,227.44,1
7.34,20.3,4.2,8,365,168.28,0
7.16,23.4,4.5,7.7,326,215.98,0
7.25,22.6,3.9,9.1,355,196.90,0
7.39,21.9,4.1,7.4,317,140.74,0
7.02,22.2,4.6,6.6,339,198.77,1
7.27,21.8,3.7,8.7,354,207.93,0
7.09,23.3,5,7,324,145.77,0
7.15,20.6,4.4,8.5,358,266.42,0
7.07,22.8,3.8,6.9,332,148.15,0
7.22,22.5,4.3,8.9,345,209.63,0
6.92,21.7,4.7,6.3,363,190.76,1
7.13,23.1,3.6,8.2,347,117.79,0
7.31,20.9,4,7.6,316,235.04,1
7.03,22.6,4.9,7.9,331,232.28,1
7.21,21.8,3.8,8.5,346,191.95,0
7.13,22.5,4.2,7.7,321,183.91,1
7.09,23.1,4.4,7.2,335,304.24,0
7.35,21.6,3.9,9.2,357,143.45,0
7.02,22,3.2,8.8,318,198.61,0
7.28,23.5,3.7,9.5,353,233.86,0
7.14,20.9,4.3,8.1,330,194.87,0
6.96,22.9,4.8,6.5,344,238.69,1
7.24,22.7,4.1,8,327,202.82,0
7.37,21.5,4.5,9.3,361,183.35,0
7.08,23.3,3.6,7.8,338,216.85,0
7.16,21.1,4.4,7.3,352,209.64,1
7.03,22.4,4,8.3,319,173.38,0
7.32,23.2,4.5,8.9,346,129.89,0
